,Date,Weekday,Total Time (Minutes),Highest,Games,Social,Entertainment,Utilities,Productivity & Finance,Creativity,Information & Reading,Education,Shopping & Food,Other,Unclassified,Schedule Type
0,10/11/2020,Sunday,512.0,Social,88.0,226.0,0.0,0.0,16.0,1.0,47.0,0.0,0.0,0.0,134.0,SS
1,10/12/2020,Monday,582.0,Social,38.0,261.0,108.0,41.0,25.0,8.0,3.0,0.0,0.0,3.0,95.0,MWF
2,10/13/2020,Tuesday,346.0,Social,35.0,163.0,8.0,0.0,17.0,13.0,6.0,3.0,10.0,22.0,69.0,TR
3,10/14/2020,Wednesday,444.0,Social,30.0,139.0,123.0,24.0,21.0,16.0,0.0,0.0,0.0,0.0,91.0,MWF
4,10/15/2020,Thursday,411.0,Social,19.0,177.0,48.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,161.0,TR
5,10/16/2020,Friday,477.0,Social,25.0,125.0,14.0,0.0,70.0,5.0,0.0,0.0,0.0,0.0,238.0,MWF
6,10/17/2020,Saturday,550.0,Games,169.0,138.0,74.0,0.0,6.0,1.0,8.0,0.0,1.0,6.0,147.0,SS
7,10/18/2020,Sunday,393.0,Social,8.0,143.0,22.0,74.0,29.0,0.0,1.0,0.0,0.0,7.0,109.0,SS
8,10/19/2020,Monday,408.0,Social,17.0,191.0,31.0,43.0,24.0,0.0,0.0,0.0,0.0,0.0,102.0,MWF
9,10/20/2020,Tuesday,316.0,Games,66.0,64.0,21.0,46.0,13.0,9.0,5.0,0.0,0.0,2.0,90.0,TR
10,10/21/2020,Wednesday,474.0,Entertainment,48.0,107.0,163.0,1.0,20.0,3.0,3.0,0.0,0.0,0.0,129.0,MWF
11,10/22/2020,Thursday,296.0,Entertainment,8.0,67.0,68.0,23.0,12.0,38.0,0.0,0.0,0.0,3.0,77.0,TR
12,10/23/2020,Friday,454.0,Social,42.0,192.0,15.0,36.0,10.0,20.0,3.0,1.0,19.0,0.0,116.0,MWF
13,10/24/2020,Saturday,509.0,Social,96.0,153.0,3.0,13.0,7.0,8.0,0.0,0.0,0.0,0.0,229.0,SS
14,10/25/2020,Sunday,502.0,Social,75.0,141.0,88.0,3.0,11.0,21.0,2.0,0.0,0.0,0.0,161.0,SS
15,10/26/2020,Monday,430.0,Social,15.0,171.0,135.0,4.0,12.0,0.0,2.0,0.0,0.0,27.0,64.0,MWF
16,10/27/2020,Tuesday,453.0,Social,28.0,172.0,3.0,3.0,31.0,10.0,2.0,0.0,26.0,1.0,177.0,TR
17,10/28/2020,Wednesday,520.0,Social,68.0,139.0,35.0,37.0,8.0,15.0,0.0,0.0,1.0,1.0,216.0,MWF
18,10/29/2020,Thursday,391.0,Social,26.0,195.0,27.0,56.0,31.0,12.0,1.0,0.0,2.0,4.0,37.0,TR
19,10/30/2020,Friday,533.0,Social,104.0,165.0,14.0,4.0,3.0,17.0,8.0,0.0,0.0,2.0,216.0,MWF
20,10/31/2020,Saturday,529.0,Social,76.0,184.0,20.0,1.0,6.0,2.0,10.0,0.0,1.0,18.0,211.0,SS
21,11/1/2020,Sunday,401.0,Games,144.0,105.0,13.0,0.0,4.0,10.0,1.0,0.0,0.0,0.0,124.0,SS
22,11/2/2020,Monday,486.0,Social,29.0,201.0,24.0,6.0,36.0,3.0,6.0,0.0,1.0,8.0,172.0,MWF
23,11/3/2020,Tuesday,255.0,Social,9.0,121.0,31.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,75.0,TR
24,11/4/2020,Wednesday,389.0,Social,33.0,175.0,63.0,29.0,9.0,12.0,13.0,2.0,0.0,0.0,53.0,MWF
25,11/5/2020,Thursday,422.0,Social,23.0,133.0,54.0,1.0,37.0,0.0,13.0,1.0,0.0,0.0,160.0,TR
26,11/6/2020,Friday,481.0,Social,22.0,221.0,54.0,21.0,9.0,10.0,25.0,0.0,0.0,0.0,119.0,MWF
27,11/7/2020,Saturday,572.0,Social,152.0,161.0,13.0,0.0,9.0,1.0,6.0,0.0,5.0,9.0,216.0,SS
28,11/8/2020,Sunday,296.0,Social,10.0,142.0,52.0,0.0,18.0,0.0,0.0,0.0,0.0,29.0,45.0,SS
29,11/9/2020,Monday,480.0,Social,15.0,156.0,11.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,279.0,MWF
30,11/10/2020,Tuesday,265.0,Social,23.0,88.0,19.0,48.0,7.0,3.0,2.0,0.0,1.0,0.0,74.0,TR
31,11/11/2020,Wednesday,407.0,Social,11.0,168.0,51.0,0.0,4.0,13.0,0.0,1.0,0.0,1.0,158.0,MWF
32,11/12/2020,Thursday,216.0,Social,19.0,120.0,7.0,5.0,13.0,0.0,0.0,0.0,0.0,1.0,51.0,TR
33,11/13/2020,Friday,326.0,Social,24.0,100.0,5.0,10.0,4.0,0.0,1.0,0.0,0.0,1.0,181.0,MWF
34,11/14/2020,Saturday,139.0,Social,4.0,78.0,5.0,0.0,2.0,10.0,16.0,0.0,0.0,2.0,22.0,SS
35,11/15/2020,Sunday,361.0,Games,147.0,109.0,25.0,8.0,6.0,31.0,2.0,0.0,0.0,1.0,32.0,SS
36,11/16/2020,Monday,510.0,Social,35.0,164.0,63.0,1.0,17.0,10.0,82.0,0.0,0.0,0.0,138.0,MWF
37,11/17/2020,Tuesday,259.0,Social,19.0,99.0,27.0,9.0,9.0,6.0,2.0,0.0,0.0,3.0,85.0,TR
38,11/18/2020,Wednesday,526.0,Social,11.0,127.0,1.0,2.0,17.0,0.0,6.0,1.0,0.0,5.0,356.0,MWF
39,11/19/2020,Thursday,272.0,Social,16.0,104.0,9.0,21.0,12.0,1.0,4.0,0.0,0.0,16.0,89.0,TR
40,11/20/2020,Friday,581.0,Social,49.0,132.0,19.0,16.0,32.0,3.0,2.0,0.0,0.0,35.0,293.0,MWF
41,11/21/2020,Saturday,334.0,Social,78.0,118.0,18.0,0.0,24.0,7.0,29.0,0.0,0.0,5.0,55.0,SS
42,11/22/2020,Sunday,404.0,Social,49.0,179.0,7.0,0.0,4.0,41.0,3.0,0.0,0.0,0.0,121.0,SS
43,11/23/2020,Monday,462.0,Social,10.0,194.0,45.0,0.0,10.0,19.0,0.0,0.0,0.0,2.0,182.0,MWF
44,11/24/2020,Tuesday,496.0,Social,5.0,127.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,5.0,350.0,TR
45,11/25/2020,Wednesday,199.0,Social,19.0,63.0,5.0,0.0,2.0,0.0,54.0,0.0,0.0,0.0,56.0,MWF
46,11/26/2020,Thursday,186.0,Social,78.0,82.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,13.0,TR
47,11/27/2020,Friday,342.0,Social,21.0,76.0,4.0,0.0,19.0,2.0,14.0,0.0,0.0,0.0,206.0,MWF
48,11/28/2020,Saturday,268.0,Social,29.0,153.0,14.0,21.0,7.0,4.0,0.0,0.0,0.0,0.0,40.0,SS
49,11/29/2020,Sunday,214.0,Social,7.0,112.0,9.0,0.0,6.0,0.0,11.0,0.0,0.0,15.0,54.0,SS
50,11/30/2020,Monday,475.0,Social,102.0,168.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,195.0,MWF
51,12/1/2020,Tuesday,268.0,Social,5.0,78.0,17.0,0.0,12.0,3.0,0.0,0.0,0.0,3.0,150.0,TR
52,12/2/2020,Wednesday,451.0,Social,110.0,129.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,192.0,MWF
53,12/3/2020,Thursday,289.0,Social,1.0,172.0,5.0,12.0,6.0,0.0,0.0,0.0,10.0,1.0,82.0,TR
54,12/4/2020,Friday,598.0,Social,0.0,108.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,482.0,MWF
55,12/5/2020,Saturday,279.0,Games,110.0,84.0,3.0,0.0,3.0,7.0,3.0,0.0,0.0,12.0,57.0,SS
56,12/6/2020,Sunday,294.0,Social,3.0,140.0,6.0,0.0,15.0,48.0,0.0,0.0,0.0,9.0,73.0,SS
57,12/7/2020,Monday,466.0,Social,21.0,137.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,9.0,285.0,MWF
58,12/8/2020,Tuesday,572.0,Social,0.0,81.0,12.0,3.0,11.0,54.0,0.0,0.0,0.0,0.0,411.0,TR
59,12/9/2020,Wednesday,494.0,Social,16.0,184.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,35.0,243.0,MWF
60,12/10/2020,Thursday,478.0,Social,73.0,309.0,11.0,5.0,6.0,42.0,4.0,0.0,0.0,0.0,28.0,TR
61,12/11/2020,Friday,639.0,Social,8.0,535.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,8.0,77.0,MWF
62,12/12/2020,Saturday,495.0,Social,14.0,90.0,13.0,0.0,2.0,8.0,1.0,13.0,0.0,29.0,325.0,SS
63,12/13/2020,Sunday,469.0,Social,13.0,122.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,26.0,296.0,SS
64,12/14/2020,Monday,578.0,Entertainment,0.0,113.0,178.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,267.0,MWF
65,12/15/2020,Tuesday,567.0,Entertainment,3.0,64.0,210.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,282.0,TR
